/* DESCRIPTION:
Reference:	Naafs, BDA et al. (2013): Millennial-scale ice rafting events and Hudson Strait Heinrich(-like) Events during the late Pliocene and Pleistocene: a review. Quaternary Science Reviews, 80, 1-28, https://doi.org/10.1016/j.quascirev.2013.08.014
Data from:	https://doi.org/10.1594/PANGAEA.818093. Accessed 11 Nov 2022.
	https://doi.org/10.1594/PANGAEA.818090. Accessed 11 Nov 2022.
	https://doi.org/10.1594/PANGAEA.818091. Accessed 11 Nov 2022.
Comment:	Values for identical dates are averaged.
	Several variables from the original datasets are not included here.
*/
Age [ka BP]	SST (1-12) [°C]	Dol/Cal [10**-3]	Qz/Cal [10**-3]
5	19.81	2.3	3.4
5.61	19.37	0	0
6.82	19	3.7	3.2
7.43	19.82	0	0
8.04	19.61	0	0
8.65	18.95	0	7.6
9.26		13	0
9.87	18.6	4.3	5.3
10.47	20.63	0	4
11.08	19.8	11.1	5.9
11.69	19.27	8.6	6.8
12.3		14.7	8.9
12.91	19.96	18.3	7.6
13.52	17.99	12.4	14.7
14.07	17.79	19.4	11
14.59	16.94	36.8	20.7
15.06	16.37	31.9	18.1
15.45	18.03	24.4	18.1
15.74	17.62	33.6	29.2
16.01	16.96	39.3	27.6
16.25	17.05	62.3	38.2
16.47	15.8	39.1	24.8
16.69	16.16	59.8	47.9
16.91	15.37	67.2	36.3
17.14	14.75	51	50.5
17.44	15.3	117.4	57.7
17.78	14.73	56.6	34.7
18	13.69	31	33.6
18.15	12.16	53.4	47.3
18.3	13	58.3	38.1
18.45	13.61	43.5	40.3
18.66	13	54.8	29.3
18.88	13.57	33.3	30.5
19.1	13.41	31.1	23.1
19.32	13.25	25.5	27.8
19.56	12.28	18.3	20.2
20.11	13.33	0	21.3
20.38	13.01	14.2	21.6
20.65	11.81		
20.93	12.4	18.3	19.3
21.2	13.03	11.8	23.2
21.48	11.21		
21.75	12.08	14.6	22.1
22.02	12.75	0	23.7
22.3	11.57	18.2	23.2
22.57	12.44	33.8	25.2
22.84	12.95	22.8	28.2
23.1	13.11	41.4	25.5
23.33	13.6		
23.54	14.51	39.7	26.6
23.76	14.01	38.1	26.8
23.92	13.44	76.1	41.8
24.06	13.93	54.4	37.5
24.21	14.99	63.7	39.1
24.36	14.27	79.1	56.7
24.5	14.36	164.2	77.2
24.65	14.56	89.7	45.3
24.79	12.29	70.5	50.3
24.94	12.55	67	47.9
25.13	12.3	49.9	42.2
25.35	13.25	27.7	34
25.6	12.61	17	33.9
25.87	11.47	46.5	33.7
26.16	12.3	11.4	27.1
26.55	12.2	0	33.5
27.01	11.69	7.4	25
27.46	12.65	0	29.4
27.92	13.2	0	28.7
28.38	11.81	9.5	26.3
28.84	12.97	0	21.4
29.35	13.46	0	24.9
29.94	14.57	0	26.9
30.55	15.58	14.2	30.6
31.16	14.72		
31.77	15.14	13	30.2
32.61	14.54	10.8	34.9
33.53	13.95	0	35.8
34.44	14.08	11.8	29.6
35.22	12.91	10.9	31.5
35.79	13.54	16.6	30.9
36.26	12.84	16.3	26.6
36.54	14.01	0	22.6
36.78	13.23	11.3	21.4
37.02	14.34	14.5	20.5
37.24	14.48	8.6	21.7
37.4	14.02	17.4	24.9
37.54	15.77	20	27.3
37.69	15.46	12.5	22.2
37.84	14.9	16.1	19.2
37.98	15.49	11	19.1
38.13	15.3	26.1	26
