# DESCRIPTION:
# Reference: Genty, D et al. (2010): Isotopic characterization of rapid climatic events during OIS3 and OIS4 in Villars Cave stalagmites (SW-France) and correlation with Atlantic and Mediterranean pollen records. Quaternary Science Reviews, 29(19-20), 2799-2820, https://doi.org/10.1016/j.quascirev.2010.06.035
# Data from: https://doi.org/10.1594/PANGAEA.817539. Accessed 22 Nov 2022.
# Comment: Several variables from the original dataset are not included here.

Age dated [ka],δ18O carb [‰ PDB],δ13C carb [‰ PDB]
31.488,-2.89,-4.97
31.649,-3.19,-6.47
31.81,-3.12,-6.77
31.971,-3.05,-6.47
32.083,-3.12,-7.21
32.349,-3.37,-6.43
32.614,-3.15,-6.17
32.694,-3.35,-6.55
32.888,-3.54,-6.93
33.153,-3.24,-6.22
33.298,-3.27,-7.1
33.338,-3.23,-8.17
33.418,-3.22,-8.87
33.692,-3.78,-8.13
33.957,-3.6,-8.44
34.223,-3.41,-7.36
34.496,-3.11,-5.47
34.625,-2.84,-7.04
34.762,-3.5,-8.78
35.027,-3.58,-8.95
35.108,-3.21,-8.02
35.301,-3.21,-8.02
35.566,-3.54,-8.1
35.832,-3.34,-8.19
35.992,-3.54,-8.5
36.185,-3.74,-8.81
36.641,-3.61,-8.66
37.096,-3.4,-7.96
37.565,-3.35,-7.73
38.021,-3.2,-7.44
38.476,-3.28,-7.69
38.945,-3.3,-7.17
39.166,-3.28,-6.79
39.234,-3.25,-6.4
39.364,-3.36,-6.71
39.497,-3.19,-7.88
39.627,-3.22,-7.3
39.757,-3.21,-7.57
39.89,-3.27,-7.8
40.02,-3.24,-6.91
40.15,-3.44,-7.8
40.284,-3.5,-7.7
40.365,-3.51,-7.94
40.478,-3.52,-8.19
40.492,-3.59,-7.49
40.501,-3.59,-7.49
40.501,-3.18,-8.14
40.507,-3.18,-8.14
40.521,-3.45,-9.43
40.535,-3.42,-9.61
40.549,-3.54,-9.72
40.563,-3.38,-9.48
40.577,-3.38,-7.32
40.592,-3.33,-6.95
40.605,-3.14,-7.39
40.606,-2.95,-7.82
40.62,-3.23,-7.08
