# DESCRIPTION:
# Reference: WAIS Divide Project Members (2015): Precise interpolar phasing of abrupt climate change during the last ice age. Nature, 520, 661–665, hhttps://doi.org/10.1038/nature14401.
# Data from: https://www.nature.com/articles/nature14401#Sec14. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.
# Comment: This file combines "WDC CH4 OSU" (11.306 to 26.363 ka BP) and "WDC CH4 PSU" (26.484 to 67.145 ka BP) datasets from the original data. 

Depth (average) [m],WD2014 Gas age [ka BP],CH4 (replicate ave.) [ppb]
1955.3,11.306,670.79
1957.31,11.324,674.14
1959.31,11.3413,702.81
1961.32,11.3596,708.84
1963.44,11.3779,703.17
1965.31,11.3941,710.46
1967.32,11.4112,734.34
1969.32,11.4277,743.42
1971.54,11.4473,756.06
1975.32,11.4797,756.38
1977.32,11.4955,710.86
1979.32,11.5126,681.4
1981.32,11.5302,645.4
1983.43,11.5486,614.12
1985.32,11.5659,578.35
1987.32,11.5843,526.83
1989.33,11.6027,490.94
1991.33,11.6221,485.39
1995.33,11.6615,488.31
1997.33,11.6817,484.93
1999.55,11.7042,482.87
2001.33,11.7222,481.5
2003.43,11.7446,483.33
2005.33,11.7651,489.94
2007.33,11.7857,492.29
2009.33,11.8077,489.01
2011.33,11.8295,481.96
2015.32,11.8734,485.04
2017.34,11.896,475.75
2019.34,11.9189,482.99
2021.34,11.9407,486.66
2023.44,11.9638,495.97
2025.34,11.9852,486.76
2027.34,12.008,472.93
2029.34,12.0299,472.35
2031.33,12.0515,482.08
2035.33,12.0964,477.37
2037.33,12.1179,467.16
2039.34,12.1394,481.21
2041.29,12.1608,487.84
2043.44,12.185,476.69
2045.34,12.2054,474.32
2047.34,12.228,472.59
2049.34,12.2502,474.71
2051.33,12.2709,468.18
2055.34,12.3154,468
2057.34,12.3369,480.24
2059.33,12.3589,493.08
2061.33,12.3819,479.62
2063.33,12.4038,475.51
2065.33,12.4262,472.23
2067.33,12.448,473.3
2069.33,12.4698,467.84
2071.33,12.4921,465.67
2075.33,12.5364,463.05
2077.45,12.5602,463.24
2079.33,12.581,464.15
2081.33,12.6029,466.8
2083.43,12.6265,482.8
2085.33,12.6472,492.67
2087.35,12.6693,500.1
2089.33,12.691,505.64
2091.33,12.7127,505.43
2095.33,12.7556,550.93
2097.33,12.7774,597.88
2099.33,12.7981,608.11
2101.33,12.8184,615.48
2103.33,12.8399,634.44
2105.33,12.8602,656.78
2107.33,12.8808,674.34
2109.33,12.9013,678.7
2111.33,12.9221,685.37
2115.33,12.9633,664.08
2117.33,12.9834,653.93
2119.33,13.0055,652.34
2121.33,13.026,643.35
2123.46,13.0489,636
2125.33,13.0688,627.42
2127.34,13.0904,607.26
2129.34,13.1124,599.58
2131.34,13.1339,612.65
2135.33,13.178,632.21
2137.33,13.1999,653.33
2139.33,13.2219,662.26
2141.33,13.244,675.45
2143.43,13.2679,666.83
2145.63,13.2919,679.11
2147.46,13.3125,684.49
2149.4,13.3337,676.61
2151.33,13.3554,678.73
2155.33,13.3993,678.83
2157.33,13.4217,671.65
2159.34,13.4433,674.93
2161.32,13.4652,681.91
2163.43,13.4874,684.52
2165.33,13.5075,675.76
2167.33,13.529,660.17
2169.33,13.5505,636.51
2171.33,13.5723,632.17
2175.32,13.6154,652.96
2177.33,13.6378,654.76
2179.33,13.6601,658.01
2181.33,13.6819,668.74
2183.42,13.7059,672.89
2185.32,13.728,679.44
2187.32,13.7509,672.65
2189.32,13.7739,658.31
2191.32,13.7977,654.3
2195.41,13.8468,660.53
2197.32,13.8698,663.81
2198.32,13.882,654.61
2199.32,13.8932,648.65
2200.32,13.9058,640.64
2201.32,13.9181,622.43
2202.32,13.9295,603.89
2204.32,13.9531,590.89
2205.32,13.9655,578.85
2206.32,13.9776,578.06
2207.32,13.9891,573.77
2208.32,14.0006,575.3
2209.32,14.0129,584.15
2210.32,14.0249,607.01
2211.32,14.0366,635.17
2212.32,14.0484,635.32
2214.32,14.072,650.54
2215.38,14.0847,651.83
2216.32,14.0963,645.73
2217.32,14.1075,630.51
2218.32,14.1191,628
2219.32,14.1312,632.46
2220.32,14.1427,623.17
2221.32,14.1546,623.87
2222.32,14.166,640.44
2224.32,14.1899,639.7
2225.25,14.1998,632.43
2226.27,14.2122,621.9
2227.32,14.2243,615
2228.4,14.2364,614.61
2229.32,14.2469,616.86
2230.32,14.2576,618.82
2231.32,14.269,622.72
2232.32,14.2797,626.7
2234.32,14.3022,616
2235.32,14.3124,622.74
2236.32,14.3235,627.99
2237.32,14.3347,634.92
2238.3,14.3443,635.22
2239.32,14.3556,631.84
2240.32,14.3667,622.74
2241.32,14.3771,620.58
2242.32,14.388,629.38
2244.32,14.4095,639.06
2245.32,14.4204,628.37
2246.32,14.4314,625.38
2247.32,14.4422,625.07
2248.37,14.4532,624.04
2249.3,14.4646,625.53
2250.32,14.4743,622.52
2251.32,14.486,620.39
2252.32,14.4971,612.43
2254.82,14.5249,593.84
2255.32,14.531,591.93
2256.32,14.5412,585.7
2257.27,14.5527,579.74
2258.25,14.5633,577.83
2259.32,14.575,565.31
2260.32,14.5866,533.07
2261.32,14.5973,520.65
2262.32,14.6096,503.74
2264.87,14.6382,495.88
2265.32,14.6436,492.87
2266.32,14.6542,491.13
2267.32,14.6667,489.33
2268.32,14.6777,484.65
2269.32,14.6895,487.77
2270.32,14.7012,484.6
2271.43,14.7145,484.48
2272.32,14.7245,484.4
2274.32,14.7487,489.48
2275.32,14.7605,489.39
2276.32,14.7724,487.82
2277.31,14.7841,488.01
2278.32,14.7959,489.73
2279.32,14.8082,485.61
2280.32,14.8203,487.63
2281.42,14.8332,487.75
2282.31,14.8441,480.63
2284.31,14.8682,472.41
2285.31,14.8795,475.61
2286.31,14.8925,473.67
2287.31,14.9046,476.24
2288.31,14.9162,479.68
2289.31,14.9288,487.44
2290.31,14.9412,487.07
2291.41,14.9545,480.29
2292.31,14.965,478.62
2294.36,14.9901,475.26
2295.31,15.0015,472.13
2296.31,15.0137,471.33
2297.31,15.0255,467.82
2298.31,15.0377,471.89
2299.31,15.05,463.57
2300.31,15.0616,461.83
2301.37,15.0749,458.37
2302.31,15.0861,461.86
2304.42,15.1112,467.18
2305.31,15.1221,472.26
2306.31,15.1349,474.82
2307.31,15.1463,473.69
2308.31,15.1583,474.05
2309.31,15.1705,464.44
2310.31,15.1832,466.32
2311.32,15.1958,466.97
2312.31,15.2074,469.84
2314.31,15.2324,475.56
2315.31,15.2451,475.93
2316.31,15.2575,476.06
2317.31,15.271,474.56
2318.31,15.2834,475.98
2319.31,15.2968,473.08
2320.31,15.3098,476.16
2321.31,15.323,472.77
2322.31,15.3355,471.55
2324.31,15.3627,477.03
2325.51,15.3789,477.18
2326.31,15.3901,478.4
2327.31,15.4037,476.59
2328.31,15.4178,470.76
2329.31,15.4323,478.32
2330.31,15.446,469.21
2331.31,15.4601,467.93
2332.31,15.4748,465.79
2334.31,15.5035,459.31
2335.31,15.5172,459.09
2336.32,15.5324,460.7
2337.26,15.546,459.94
2338.31,15.5611,457.23
2339.31,15.5758,454.41
2340.32,15.5913,453
2341.32,15.6052,454.85
2342.32,15.621,453.31
2344.31,15.6506,452.37
2345.31,15.6654,450.25
2346.31,15.6813,449.8
2347.32,15.6966,450.85
2348.31,15.7113,458.58
2349.31,15.7264,459.53
2350.31,15.7415,459.98
2351.31,15.7567,459.68
2352.31,15.7724,459.57
2354.31,15.803,458.71
2355.31,15.8197,454.65
2356.31,15.834,454.02
2358.08,15.8616,450.06
2358.31,15.8651,450.24
2359.31,15.8804,451.24
2360.31,15.8969,448.15
2361.31,15.913,452.34
2362.31,15.9285,449.38
2364.31,15.9629,453.92
2365.31,15.9801,463.81
2366.31,15.9976,463.16
2367.31,16.0151,465.62
2368.31,16.0313,468.01
2369.31,16.0504,475.09
2370.5,16.0711,482.35
2371.31,16.0859,483.47
