# DESCRIPTION:
# Reference: WAIS Divide Project Members (2015): Precise interpolar phasing of abrupt climate change during the last ice age. Nature, 520, 661–665, hhttps://doi.org/10.1038/nature14401.
# Data from: https://www.nature.com/articles/nature14401#Sec14. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.
# Comment: Depth and Age are averages of their 'Top' and 'Bottom' values.

Depth (average) [m],WD2014 Age (average) [ka BP],ss Na [ng/b]
1301.95,6.02289,18.386
1302.05,6.02365,16.813
1302.15,6.02432,16.621
1302.25,6.02489,8.902
1302.35,6.02549,21.229
1302.45,6.02606,24.416
1302.55,6.02659,16.651
1302.65,6.02716,7.749
1302.75,6.02785,10.648
1302.85,6.02863,14.603
1302.95,6.02932,26.675
1303.05,6.02993,19.282
1303.15,6.03062,20.904
1303.25,6.03138,26.952
1303.35,6.03202,24.101
1303.45,6.0325,29.797
1303.55,6.03295,10.898
1303.65,6.03344,32.529
1303.75,6.034,18.705
1303.85,6.03464,18.834
1303.95,6.03526,27.387
1304.05,6.03581,25.488
1304.15,6.03641,28.545
1304.25,6.03708,12.904
1304.35,6.03776,13.329
1304.45,6.03837,28.31
1304.55,6.03893,26.762
1304.65,6.03958,13.822
1304.75,6.04021,11.526
1304.85,6.04076,25.65
1304.95,6.04136,21.15
1305.05,6.042,12.865
1305.15,6.04262,17.995
1305.25,6.04323,21.511
1305.35,6.04383,17.2
1305.45,6.04444,26.036
1305.55,6.04511,20.956
1305.65,6.04591,13.764
1305.75,6.04675,10.776
1305.85,6.04745,26.435
1305.95,6.04805,11.22
1306.05,6.04872,15.367
1306.15,6.0494,15.636
1306.25,6.05006,14.535
1306.35,6.05071,22.126
1306.45,6.05128,31.288
1306.55,6.05179,14.561
1306.65,6.05231,21.542
1306.75,6.05289,10.35
1306.85,6.05365,25.609
1306.95,6.05452,19.455
1307.05,6.0552,12.123
1307.15,6.05572,14.746
1307.25,6.05642,16.501
1307.35,6.05714,17.549
1307.45,6.05765,15.933
1307.55,6.0582,17.587
1307.65,6.05885,25.385
1307.75,6.05953,18.165
1307.85,6.06026,10.413
1307.95,6.06098,10.637
1308.05,6.06166,9.397
1308.15,6.0623,16.37
1308.25,6.0629,7.066
1308.35,6.06348,23.924
1308.45,6.06404,9.287
1308.55,6.06456,22.145
1308.65,6.06508,21.561
1308.75,6.06564,26.767
1308.85,6.0663,15.212
1308.95,6.06701,13.345
1309.05,6.06769,10.061
1309.15,6.06824,26.472
1309.25,6.0687,30.949
1309.35,6.06921,37.479
1309.45,6.06978,12.995
1309.55,6.07049,18.598
1309.65,6.07124,13.98
1309.75,6.07192,13.285
1309.85,6.0726,17.969
1309.95,6.07326,14.144
1310.05,6.07388,11.786
1310.15,6.07449,29.626
1310.25,6.07508,7.781
1310.35,6.07566,18.986
1310.45,6.07625,20.752
1310.55,6.07685,10.624
1310.65,6.07746,7.012
1310.75,6.0781,5.41
1310.85,6.07878,13.503
1310.95,6.07943,18.618
1311.05,6.08005,13.297
1311.15,6.08069,17.585
1311.25,6.08125,10.741
1311.35,6.08173,17.789
1311.45,6.08234,21.657
1311.55,6.08304,12.646
1311.65,6.08365,19.602
1311.75,6.08422,15.436
1311.85,6.08478,18.435
1311.95,6.08532,21.405
1312.05,6.08583,15.137
1312.15,6.08638,31.891
1312.25,6.08698,11.369
1312.35,6.08764,16.242
1312.45,6.08845,17.433
1312.55,6.08921,18.624
1312.65,6.08981,14.086
1312.75,6.09049,17.975
1312.85,6.09125,13.403
1312.95,6.092,12.883
1313.05,6.09271,9.135
1313.15,6.09336,10.796
1313.25,6.094,10.691
1313.45,6.09535,17.392
1313.55,6.0959,12.157
1313.65,6.09651,11.741
1313.75,6.09711,24.189
1313.85,6.09763,26.735
1313.95,6.09818,16.906
1314.05,6.09879,14.924
1314.15,6.09953,34.213
1314.25,6.1003,19.166
1314.35,6.10098,8.151
1314.45,6.10162,10.967
1314.55,6.10227,16.727
1314.65,6.10295,18.754
1314.75,6.10362,23.488
1314.85,6.10429,17.467
1314.95,6.10495,10.107
1315.05,6.10553,11.787
1315.15,6.10605,5.418
1315.25,6.10654,9.448
1315.35,6.10709,7.784
1315.45,6.10776,18.047
1315.55,6.10857,9.997
1315.65,6.10929,23.125
1315.75,6.10983,30.839
1315.85,6.11041,23.099
1315.95,6.11102,16.011
1316.05,6.1116,26.358
1316.15,6.11224,17.354
1316.25,6.113,28.19
1316.35,6.11379,31.807
1316.45,6.11451,36.576
1316.55,6.1152,9.963
1316.65,6.11593,14.993
1316.75,6.11665,30.051
1316.85,6.11735,27.823
1316.95,6.11809,24.715
1317.05,6.11886,13.99
1317.15,6.11954,14.344
1317.25,6.12026,11.555
1317.35,6.12106,30.707
1317.45,6.1218,17.841
1317.55,6.12251,21.308
1317.65,6.12315,12.816
1317.75,6.1237,20.463
1317.85,6.12437,12.25
1317.95,6.1252,18.138
1318.05,6.12598,10.117
1318.15,6.12668,18.378
1318.25,6.12729,11.063
1318.35,6.12787,12.205
1318.45,6.12849,37.87
1318.55,6.12916,17.828
1318.65,6.12989,13.892
1318.75,6.1307,15.091
1318.85,6.13146,50.614
1318.95,6.13227,16.915
1319.05,6.13312,34.483
1319.15,6.1338,16.141
1319.25,6.13446,11.509
1319.35,6.13514,8.727
1319.45,6.1358,9.231
1319.55,6.13642,13.925
1319.65,6.13701,9.317
1319.75,6.13756,16.334
1319.85,6.13814,15.916
1319.95,6.13878,21.001
1320.05,6.13947,22.465
1320.15,6.14025,13.864
1320.25,6.14109,17.862
1320.35,6.14186,19.948
1320.45,6.14255,27.759
1320.55,6.14315,46.402
1320.65,6.1437,42.566
1320.75,6.14442,16.933
1320.85,6.14519,18.824
1320.95,6.14582,17.476
1321.05,6.14643,20.57
1321.15,6.14708,11.864
1321.25,6.14778,11.021
1321.35,6.1484,21.575
1321.45,6.14897,40.046
1321.55,6.14963,18.342
1321.65,6.15036,14.332
1321.75,6.15109,31.729
1321.85,6.15176,23.856
1321.95,6.15241,9.985
1322.05,6.15302,7.583
1322.15,6.15356,22.709
1322.25,6.15413,13.753
1322.35,6.15481,19.35
1322.45,6.15563,28.263
1322.55,6.15638,31.922
1322.65,6.157,9.722
1322.75,6.15764,16.185
1322.85,6.1582,12.658
1322.95,6.15866,18.725
1323.05,6.15915,19.229
1323.15,6.15967,26.789
1323.25,6.16031,18.305
1323.35,6.16104,21.156
1323.45,6.16174,15.905
1323.55,6.16233,16.619
1323.65,6.16288,13.648
1323.75,6.16362,19.811
1323.85,6.16439,11.444
1323.95,6.16507,14.058
1324.05,6.16579,24.782
1324.15,6.16649,65.294
1324.25,6.16712,20.591
1324.35,6.16774,29.675
1324.45,6.16838,15.698
1324.55,6.16904,20.38
1324.65,6.16972,24.508
1325.65,6.17601,21.365
1325.75,6.17677,24.38
1325.85,6.17761,20.379
1325.95,6.17838,16.261
1326.05,6.17901,9.648
1326.15,6.17957,22.782
1326.25,6.18008,29.192
1326.35,6.18057,16.464
1326.45,6.18109,11.881
1326.55,6.18168,25.121
1326.65,6.18231,16.874
1326.75,6.18294,14.489
1326.85,6.18354,13.834
1326.95,6.18417,21.863
1327.05,6.18486,23.952
1327.15,6.18547,16.29
1327.25,6.18605,17.537
1327.35,6.18672,12.175
1327.45,6.18754,15.691
1327.55,6.18826,22.869
1327.65,6.18877,11.55
1327.75,6.18944,10.943
1327.85,6.19024,14.535
1327.95,6.19095,13.642
1328.05,6.19152,15.702
1328.15,6.19214,15.803
1328.25,6.19288,21.993
1328.35,6.19355,40.029
1328.45,6.19418,20.47
1328.55,6.19487,12.914
1328.65,6.19546,16.967
1328.75,6.19598,12.956
1328.85,6.19656,11.65
1328.95,6.1972,17.489
1329.05,6.19788,23.275
1329.15,6.19852,40.706
1329.25,6.19914,17.439
1329.35,6.1998,23.227
1329.45,6.20048,16.748
1329.55,6.20111,11.142
1329.65,6.20164,14.478
1329.75,6.20225,9.991
1329.85,6.20296,4.356
1329.95,6.20364,14.217
1330.05,6.20427,10.702
1330.15,6.20491,9.758
1330.25,6.20566,13.071
1330.35,6.20635,18.727
1330.45,6.20694,6.678
1330.55,6.2076,18.28
1330.65,6.20828,22.107
1330.75,6.20893,24.61
1330.85,6.20958,16.637
1330.95,6.21029,18.556
1331.05,6.21099,15.213
1331.15,6.2116,37.018
1331.25,6.21225,11.721
1331.35,6.21295,13.943
1331.45,6.21357,32.661
1331.55,6.2141,7.273
1331.65,6.2146,13.904
1331.75,6.21512,14.506
1331.85,6.21571,14.236
1331.95,6.2164,26.541
1332.05,6.21707,24.432
1332.15,6.21761,27.256
1332.25,6.21821,13.001
1332.35,6.21893,17.068
1332.45,6.21965,16.845
1332.55,6.22033,12.915
1332.65,6.22095,5.116
1332.75,6.2215,17.448
1332.85,6.22205,15.078
1332.95,6.2227,21.673
1333.05,6.22338,18.115
1333.15,6.22402,2.838
1333.25,6.22464,18.607
1333.35,6.22532,18.759
1333.45,6.22604,12.324
1333.55,6.22671,20.99
1333.65,6.2273,36.074
1333.75,6.22784,9.526
1333.85,6.22838,13.745
1333.95,6.22891,5.705
1334.05,6.22939,14.115
1334.15,6.22986,13.611
1334.25,6.23046,25.072
1334.35,6.23108,8.174
1334.45,6.23159,18.03
1334.55,6.23219,11.338
1334.65,6.23297,12.866
1334.75,6.23379,16.114
1334.85,6.23444,29.372
1334.95,6.23496,11.907
1335.05,6.23551,9.956
1335.15,6.23616,18.952
1335.25,6.23687,11.766
1335.35,6.23743,16.378
1335.45,6.23791,15.617
1335.55,6.23852,25.411
1335.65,6.23921,14.985
1335.75,6.23987,11.268
1335.85,6.24055,21.313
1335.95,6.24118,20.635
1336.05,6.24173,14.111
1336.15,6.24242,10.91
1336.25,6.24316,17.751
1336.35,6.24381,21.937
1336.45,6.24455,11.345
1336.55,6.24535,16.587
1336.65,6.24606,12.044
1336.75,6.2467,15.871
1336.85,6.24733,33.732
1336.95,6.24794,24.803
1337.05,6.24847,14.901
1337.15,6.24903,16.156
1337.25,6.24977,16.351
1337.35,6.25049,24.73
1337.45,6.2511,14.409
1337.55,6.25171,16.088
1337.65,6.25243,10.581
1337.75,6.25317,13.787
1337.85,6.25379,13.848
1337.95,6.25432,17.546
1338.05,6.25481,17.219
1338.15,6.25542,16.239
1338.25,6.25611,20.184
1338.35,6.25678,16.848
1338.45,6.25749,20.701
1338.55,6.25815,9.376
1338.65,6.25871,8.403
1338.75,6.25931,8.251
1338.85,6.25995,7.643
1338.95,6.26057,13.213
1339.05,6.26114,19.882
1339.15,6.26166,16.221
1339.25,6.26227,14.73
1339.35,6.26295,14.083
1339.45,6.26352,29.974
1339.55,6.26402,22.18
1339.65,6.26453,16.375
1339.75,6.26507,11.148
1339.85,6.26566,18.762
1339.95,6.26623,22.011
1340.05,6.26678,15.586
1340.15,6.26738,35.495
1340.25,6.26806,11.989
1340.35,6.26878,16.764
1340.45,6.26951,33.757
1340.55,6.27024,11.831
1340.65,6.27097,15.113
1340.75,6.27165,26.38
1340.85,6.27235,14.31
1340.95,6.27309,14.777
1341.05,6.27378,10.485
1341.15,6.27437,20.474
1341.25,6.27488,9.752
1341.35,6.27543,16.157
1341.45,6.27602,12.508
1341.55,6.27666,14.105
1341.65,6.2774,11.361
1341.75,6.27823,14.187
1341.85,6.27899,14.849
1341.95,6.27965,27.812
1342.05,6.28033,22.156
1342.15,6.28105,14.291
1342.25,6.28174,8.071
1342.35,6.28248,11.461
1342.45,6.28328,22.937
1342.55,6.28399,19.518
1342.65,6.28461,16.801
1342.75,6.28541,14.271
1342.85,6.28625,31.563
1342.95,6.28688,20.065
1343.05,6.28749,38.509
1343.15,6.2881,22.312
1343.25,6.28871,20.815
1343.35,6.28934,13.791
1343.45,6.29002,9.732
1343.55,6.29074,13.121
1343.65,6.29139,15.912
1343.75,6.29197,11.459
1343.85,6.29257,21.133
1343.95,6.29321,21.451
1344.05,6.2939,29.213
1344.15,6.2946,15.965
1344.25,6.2952,13.913
1344.35,6.29569,11.737
1344.45,6.2962,7.978
1344.55,6.29673,8.704
1344.65,6.29732,11.42
1344.75,6.29796,10.757
1344.85,6.29855,15.614
1344.95,6.29915,19.292
1345.05,6.29979,15.126
1345.15,6.30042,24.698
1345.25,6.30104,23.01
1345.35,6.30168,20.298
1345.45,6.30242,23.114
1345.55,6.30311,12.74
1345.65,6.30363,21.948
1345.75,6.30421,9.103
