# DESCRIPTION:
# Reference: WAIS Divide Project Members (2015): Precise interpolar phasing of abrupt climate change during the last ice age. Nature, 520, 661–665, hhttps://doi.org/10.1038/nature14401.
# Data from: https://www.nature.com/articles/nature14401#Sec14. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.
# Comment: Depth and Age are averages of their 'Top' and 'Bottom' values.

Depth (average) [m],WD2014 Age (average) [ka 1950],d18O [permil]
0.525,-0.0556,-32.33
1.565,-0.05325,-34.98
2.585,-0.0511,-34.29
3.59,-0.04895,-32.92
4.595,-0.0465,-34.95
5.615,-0.04405,-33.04
6.65,-0.0419,-32.86
7.68,-0.03945,-32.94
8.69,-0.0367,-35.5
9.695,-0.034,-34.41
10.695,-0.03155,-33.84
11.675,-0.02895,-35.01
12.665,-0.0259,-34.02
13.66,-0.02295,-34.35
14.645,-0.0201,-34.72
15.64,-0.01705,-35.01
16.645,-0.01405,-35.1
17.665,-0.01095,-34.17
18.69,-0.00775,-35.26
19.72,-0.00455,-33.72
20.75,-0.0014,-34.02
21.76,0.00165,-34.42
22.755,0.0048,-33.03
23.76,0.008,-33.12
24.775,0.01105,-32.94
25.785,0.0141,-35.24
26.785,0.0172,-33.85
27.79,0.0204,-34.24
28.8,0.02405,-34.2
29.805,0.0276,-34.68
30.805,0.0306,-33.43
31.8,0.0338,-33.93
32.8,0.0373,-33.51
33.775,0.04085,-34.44
34.77,0.04455,-33.76
35.78,0.0479,-33.95
36.77,0.05115,-33.21
37.77,0.0547,-34.64
38.755,0.05815,-34.38
39.755,0.06135,-34.09
40.76,0.065,-32.94
41.765,0.06875,-34.22
42.81,0.07205,-32.57
43.845,0.0755,-33.95
44.855,0.07955,-34.15
45.85,0.0835,-33.56
46.855,0.0873,-33.28
47.885,0.0918,-34.41
48.86,0.0957,-33.38
49.83,0.0991,-34.72
50.83,0.10275,-34.78
51.83,0.1064,-34.55
52.845,0.11035,-33.42
53.845,0.11435,-34.13
54.88,0.1182,-32.39
55.92,0.1221,-33.2
56.92,0.12585,-32.95
57.915,0.12955,-34.71
58.885,0.1333,-34.47
59.9,0.13725,-34.01
60.935,0.14145,-34.98
61.93,0.1456,-32.83
62.93,0.14995,-33.18
63.895,0.15405,-34.76
64.895,0.15785,-33.66
65.895,0.16165,-33.59
66.86,0.16525,-33.13
67.875,0.16925,-34.24
68.895,0.17345,-33.12
69.895,0.1774,-34.15
70.915,0.18155,-33.63
71.945,0.1857,-33.99
72.95,0.1897,-34.11
73.925,0.194,-34.1
74.89,0.1982,-34.15
75.91,0.20255,-34.57
76.915,0.2073,-35.14
77.91,0.21175,-33.54
78.915,0.21595,-32.97
79.87,0.2198,-33.81
80.865,0.2239,-34.02
81.86,0.22825,-33.7
82.865,0.23255,-34.44
83.875,0.23685,-34.39
84.86,0.24105,-34.13
85.85,0.2453,-33.72
86.855,0.2498,-34.83
87.83,0.254,-32.22
88.785,0.25795,-33.22
89.8,0.2625,-33.5
90.79,0.267,-35.09
91.76,0.2714,-34.15
92.745,0.27595,-34.32
93.77,0.28055,-34.26
94.805,0.2851,-33.75
95.805,0.28905,-33.35
96.775,0.2929,-32.56
97.735,0.29675,-33.61
98.705,0.3003,-33.45
99.69,0.3041,-34.3
100.705,0.30845,-34.18
101.7,0.3128,-33.71
102.67,0.3167,-33.14
103.64,0.3208,-33.58
104.635,0.32525,-33.89
105.63,0.32935,-34.39
106.595,0.3333,-34.29
107.595,0.33755,-33.42
108.61,0.34195,-33.99
109.64,0.34645,-33.19
110.685,0.35105,-33.48
111.675,0.3552,-34.18
112.645,0.3588,-33.24
113.625,0.3626,-33.85
114.555,0.3665,-33.52
115.5,0.3707,-33.68
116.5,0.37515,-34.13
117.5,0.37945,-34.12
118.5,0.3837,-33.55
119.5,0.3881,-33.42
120.5,0.39245,-34.3
121.5,0.3966,-32.64
122.5,0.40065,-33.75
123.5,0.40485,-34.83
124.48,0.40925,-34.23
125.48,0.41335,-32.81
126.5,0.4176,-35.04
127.5,0.42205,-33.88
128.5,0.4265,-33.66
129.5,0.43085,-34.02
130.5,0.4352,-33.39
131.5,0.43975,-33.27
