# KS test parameters: w_min = 0.12, w_max = 2.5, n_w = 15, d_c = 0.77, n_c = 3, s_c = 2.2
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
1.111,-1
12.7485,-1
13.0525,1
13.9685,1
14.237,-1
14.4115,1
15.102,1
16.5895,1
16.73,-1
17.436,-1
18.845,-1
18.999,1
19.5085,1
27.6995,-1
28.1285,1
28.5895,-1
29.0225,1
29.277,1
29.927,-1
30.249,1
30.525,-1
30.709,-1
30.893,1
32.7655,1
34.0675,-1
35.6955,-1
38.1905,1
40.688,-1
41.565,1
44.771,-1
46.4315,1
47.202,1
49.8805,-1
52.225,-1
52.746,-1
54.0485,1
54.5615,-1
55.1365,1
55.6365,-1
55.8745,1
56.299,1
56.6655,-1
57.188,1
58,1
58.613,1
59.0805,1
59.968,1
60.3155,-1
60.961,1
64.0575,-1
65.1115,1
65.7555,1
67.1895,-1
67.5415,1
68.8,-1
83.4125,-1
83.8805,1
85.9565,-1
86.804,1
87.038,-1
88.042,-1
89.171,-1
89.6725,1
91.555,1
92.7015,-1
92.9305,1
93.599,-1
94.409,1
94.6905,-1
109.073,1
109.906,-1
110.346,1
110.965,-1
112.098,1
112.472,-1
112.98,1
113.146,-1
114.196,1
114.329,-1
114.749,-1
116.088,1
118.907,1
121.366,-1
124.644,-1
128.685,1
129.632,-1
130.375,1
131.337,-1
133.315,1
139.539,-1
140.173,1
142.096,-1
142.965,1
144.381,-1
145.648,-1
146.094,1
147.063,-1
148.851,1
149.874,-1
151.816,1
158.612,-1
159.151,1
160.014,-1
160.662,1
161.417,1
163.235,-1
164.218,1
166.555,-1
169.351,1
170.575,-1
170.891,-1
171.161,1
172.471,-1
172.742,1
178.158,-1
180.438,1
182.451,-1
189.535,1
190.063,-1
190.591,1
191.119,-1
200.984,-1
201.214,1
202.595,-1
203.669,-1
204.897,1
205.51,-1
206.277,1
208.808,1
210.803,-1
211.109,-1
212.643,1
223.413,-1
225.075,1
225.326,-1
228.918,1
230.683,-1
231.815,-1
233.82,-1
243.634,1
246.067,-1
246.575,1
247.675,-1
251.135,1
252.548,-1
258.628,1
260.246,-1
261.109,1
261.779,-1
262.363,1
263.181,-1
263.432,1
263.588,-1
263.808,1
263.995,1
271.197,1
271.93,-1
275.06,-1
277.087,1
279.331,-1
279.981,1
281.283,-1
282.44,-1
