# KS test parameters: w_min = 0.2, w_max = 10, n_w = 15, d_c = 0.77, n_c = 3, s_c = 2.2
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
3.4995,-1
9.06,1
9.2655,-1
11.1865,1
12.779,-1
14.617,1
16.115,-1
17.13,-1
17.835,-1
23.99,1
24.59,-1
26.65,-1
27.925,1
28.715,-1
29.135,1
29.355,1
30.655,-1
31.975,-1
32.675,1
33.42,-1
33.995,1
34.595,-1
34.95,-1
35.535,1
36.605,-1
38.305,1
39.955,-1
40.31,1
41.675,1
42.475,-1
43.615,1
45.73,-1
47.25,1
48.47,-1
49.245,-1
49.625,1
50.545,-1
54.255,1
55.23,-1
55.745,1
56.32,-1
58.21,1
58.555,1
58.795,-1
59.785,1
65.48,1
68.655,-1
69.18,1
69.575,-1
70.155,-1
72.285,1
73.35,-1
76.06,1
77.155,-1
77.51,-1
78.91,-1
84.23,1
84.94,1
88.425,-1
88.98,1
89.71,1
90.03,1
98.65,-1
100.35,-1
105.15,1
108.55,1
117.45,-1
119.25,-1
120.75,-1
128.95,1
133.35,-1
135.55,-1
139.35,-1
142.55,-1
143.85,-1
147.65,1
149.05,1
157.05,1
160.5,1
162,-1
164.2,1
164.95,-1
165.45,-1
166.8,-1
169.05,1
169.55,1
170.25,-1
171.05,-1
173.15,1
174.85,-1
178.05,1
179.55,-1
182.55,1
188.45,-1
190.65,1
191.75,-1
192.85,1
193.25,-1
199.15,1
201.15,-1
209.85,-1
219.15,1
220.95,-1
225.2,1
226.45,1
228.65,-1
232.65,-1
234.15,-1
241.85,1
246.45,-1
246.95,-1
248.35,1
248.85,1
250.05,-1
251.15,1
251.95,-1
255.25,-1
258.75,1
259.75,-1
264.95,1
272.85,1
276.95,-1
281.4,-1
285.55,-1
293.9,1
307.25,-1
316.45,1
318.05,-1
325.15,-1
334.45,1
337.35,1
341.15,-1
342.25,-1
345.05,-1
349.55,-1
351.15,1
364.35,-1
365.65,1
367.15,-1
368.1,1
370.75,1
371.55,-1
372.65,-1
375.95,1
377.35,1
378.45,-1
386,1
391.1,1
393.6,1
400.65,-1
412.25,1
425.55,1
429,-1
430.45,-1
439.05,-1
443.2,-1
447.4,1
449.45,1
453.8,-1
457.6,-1
458.9,1
460.05,-1
463.15,1
463.55,1
465.95,1
467.35,-1
472.65,1
474.85,-1
479.05,-1
484.15,1
490.05,1
491.85,1
499.55,-1
504.15,1
506.45,1
518.25,-1
521.95,-1
530.05,1
531.25,1
535.2,-1
545.35,1
548.1,1
552.7,-1
553.55,1
554.35,-1
555.8,1
556.95,-1
559.15,1
560.45,-1
561.25,1
562.15,1
569.5,-1
580.8,1
582.95,1
590.2,-1
593.9,1
603.1,1
612.05,-1
615.1,-1
625.65,1
627.65,1
628.85,-1
629.95,1
633.3,1
635.4,-1
638.1,1
639.2,-1
