# KS test parameters: w_min = 0.2, w_max = 2, n_w = 15, d_c = 0.77, n_c = 2, s_c = 2, x_c = 4
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
10.574,-1
11.5315,-1
12.3695,1
14.2455,-1
16.8275,1
20.811,1
23.229,-1
26.6785,1
29.18,-1
31.3245,1
33.4685,-1
35.613,1
39.2,-1
40.3935,1
44.5905,1
46.3185,1
47.4,-1
50.0555,1
54.0175,-1
55.02,-1
55.323,-1
56.022,1
57.649,-1
58.7735,-1
66.7055,1
72.598,-1
73.069,1
77.163,-1
77.769,1
83.8365,-1
85.8115,1
