# KS test parameters: w_min = 0.3, w_max = 6, n_w = 15, d_c = 0.75, n_c = 3, s_c = 2.2, x_c = 1
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
3.2165,-1
10.636,1
20.0545,1
21.7115,-1
22.465,1
23.8215,1
30.433,-1
31.962,-1
45.371,-1
51.1665,-1
64.778,1
94.857,-1
104.286,1
120.091,-1
125.909,1
185.018,-1
194.38,-1
200.76,1
209.46,-1
224.481,1
237.519,-1
239.887,1
252.864,-1
255.284,-1
259.432,1
267.037,1
279.136,-1
280.333,-1
300.889,-1
313.926,1
318.667,-1
332,1
356.095,-1
