# KS test parameters: w_min = 0.1, w_max = 2.5, n_w = 12, d_c = 0.77, n_c = 3, s_c = 1.9
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
6.60997,-1
7.72997,1
8.08997,-1
8.32997,1
8.68997,-1
8.86997,1
9.42997,1
10.47,-1
10.89,-1
11.65,-1
12.27,-1
12.87,1
13.09,-1
14.23,-1
14.35,1
14.69,-1
15.41,-1
16.49,1
17.95,1
18.95,1
19.15,-1
21.01,-1
23.73,-1
26.47,1
27.59,1
27.81,-1
28.61,1
28.99,-1
30.51,1
31.87,1
32.33,-1
32.43,1
32.53,-1
33.21,1
33.35,1
33.81,-1
34.75,1
35.17,1
35.57,-1
36.65,1
38.19,-1
39.31,1
39.61,1
39.95,1
40.87,1
41.47,-1
42.27,1
42.79,1
43.21,-1
43.35,-1
44.47,1
44.71,1
44.97,1
45.53,1
46.85,-1
47.31,1
48.41,1
49.29,-1
51.51,1
51.91,-1
52.57,1
53.01,-1
53.45,1
53.91,-1
54.25,-1
54.77,1
55.47,1
55.75,-1
56.47,1
56.91,-1
57.15,1
57.55,-1
57.81,-1
57.91,1
58.27,-1
58.67,1
59.03,-1
59.35,1
59.61,-1
61.06,1
61.39,-1
61.61,1
62.39,-1
62.61,1
63.93,1
64.11,-1
65.29,-1
65.63,1
66.09,1
66.47,1
67.73,-1
69.91,1
72.31,-1
73.63,1
74.13,1
76.41,-1
77.81,1
78.35,1
81.69,1
84.45,-1
84.73,-1
84.99,1
85.09,-1
86.13,-1
86.49,1
86.93,-1
87.65,1
87.81,-1
88.21,1
99.31,1
101.93,1
103.99,-1
104.49,-1
105.53,1
106.27,-1
106.57,1
106.79,-1
108.17,-1
108.27,-1
