# RQA parameters: w_min = 0.75, w_max = 0.75, n_w = 1, epsilon = 3

time,RR prominence
8.47997,0.28634
10.8,0.211833
11.66,0.511322
12.82,0.518627
14.64,0.324324
16.32,0.753835
18.82,0.438276
23.6,0.236669
26.42,0.281958
27.84,0.505478
29.04,0.449963
30.5,0.442659
32.42,0.55515
33.3,0.483565
35.58,0.66618
36.66,0.468955
38.14,0.628196
39.76,0.489408
41.48,0.57122
42.24,0.283419
43.2,0.42805
44.46,0.566837
46.82,0.441198
48.38,0.661797
51.98,0.213294
54.08,0.549306
56.58,0.384222
57.6,0.242513
58.96,0.613587
62.58,0.528853
64.3,0.293645
65.38,0.601899
70.06,0.407597
72.28,0.591673
73.92,0.357925
76.44,0.501096
77.7,0.368152
84.9,0.648649
88.34,0.467495
99.46,0.241052
104.1,0.559533
105.48,0.264427
108.3,0.572681
