# KS test parameters: w_min = 0.12, w_max = 2.2, n_w = 15, d_c = 0.77, n_c = 3, s_c = 2.3, x_c = 0.35
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
5.46,1
11.43,-1
11.68,-1
13.19,1
14.275,-1
37.785,-1
45.925,1
51.385,1
53.205,1
54.665,-1
59.38,-1
70.58,1
73.31,-1
74.895,1
77.15,-1
78.235,1
78.51,1
78.955,-1
79.98,-1
85.555,-1
88.325,1
90.245,-1
99.18,1
104.565,-1
106.08,1
108.77,-1
111.315,1
115.43,-1
121.49,1
127.725,-1
148.625,1
