# KS test parameters: w_min = 0.3, w_max = 5, n_w = 15, d_c = 0.72, n_c = 3, s_c = 2.5, x_c = 0.22
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
11.12,-1
14.56,-1
15.54,-1
16.525,1
37.52,-1
38.475,1
51.39,-1
54.55,1
60.94,-1
62.365,1
70.7,-1
77.3,1
83.56,1
94.375,-1
94.79,-1
97.595,-1
98.845,1
103.5,1
104.74,1
119.28,-1
121.515,1
126.39,-1
128.935,-1
139.785,-1
142.845,1
145.535,-1
146.065,1
147.235,-1
156.985,-1
159.635,1
162.815,-1
165.255,1
167.165,1
167.905,-1
180.835,-1
185.605,1
191.97,1
196.42,-1
210.915,1
218.29,-1
221.875,1
222.865,1
226.825,-1
230.455,1
237.715,1
243.095,-1
244.03,-1
246.375,1
248.245,-1
250.685,1
253.275,-1
259.385,-1
260.255,1
263.13,1
277.615,1
283.295,1
295.475,-1
300.345,-1
305.105,-1
307.145,-1
316.205,1
318.81,1
323.97,1
325.42,-1
338.43,-1
348.8,1
358.72,-1
365.12,-1
367.1,1
368.43,-1
371.07,-1
371.95,1
375.48,1
376.92,-1
