# KS test parameters: w_min = 0.12, w_max = 2, n_w = 15, d_c = 0.77, n_c = 3, s_c = 2.2
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
11.65,1
12.77,-1
12.97,1
13.21,-1
14.65,1
17.55,-1
17.86,1
20.37,1
23.14,-1
23.33,1
24.15,-1
24.56,1
25.06,1
25.94,-1
27.48,-1
27.74,1
28.53,-1
28.93,1
30.5,-1
30.74,1
31.81,-1
31.99,-1
32.46,1
33.35,-1
33.7,1
34.565,-1
35.01,-1
35.46,1
36.58,-1
37.1,-1
38.17,1
39.87,-1
40.12,1
40.79,-1
41.44,1
42.23,-1
42.495,-1
43.28,1
44.33,-1
44.5,1
46.82,1
48.27,-1
48.46,-1
48.72,-1
48.98,1
49.23,1
49.58,-1
51.59,-1
53.9,1
54.17,1
54.82,-1
54.96,1
55.37,-1
55.83,1
56.47,-1
57.8,1
58,1
58.23,1
58.53,-1
58.78,-1
59.01,1
59.24,-1
59.45,1
