# KS test parameters: w_min = 0.12, w_max = 2, n_w = 15, d_c = 0.77, n_c = 3, s_c = 2
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
8.17022,1
11.5302,-1
11.6902,1
12.8102,-1
13.2502,-1
14.1702,-1
14.6902,1
20.3902,1
23.3702,1
27.5502,-1
27.7702,1
28.5902,-1
28.9102,1
30.3302,-1
32.0502,-1
32.5102,1
33.3902,-1
33.7702,1
34.7502,-1
35.0102,-1
35.4902,1
36.6102,-1
37.1702,-1
38.2102,1
40.0102,-1
40.1302,1
40.9902,-1
41.4502,1
42.2702,-1
42.6102,-1
43.3502,1
43.7302,-1
44.3502,-1
44.5302,1
44.6702,-1
45.4502,-1
46.8502,1
48.5302,-1
49.2902,1
49.5702,-1
51.6302,-1
54.2102,1
54.8902,-1
55.0102,1
55.4302,-1
55.7902,1
56.5102,-1
58.0302,1
58.2702,1
58.5502,-1
59.0702,1
59.2902,-1
59.4502,1
60.1902,1
63.1302,1
63.9102,-1
64.2102,1
69.4102,-1
69.6902,1
70.5102,-1
70.9102,-1
72.3302,1
74.1702,-1
76.4302,1
77.7702,-1
78.0902,1
78.7902,-1
79.2702,1
79.8902,-1
84.7702,1
87.4102,1
87.5702,-1
87.8102,1
88.7502,1
88.9702,-1
90.1102,1
93.1302,-1
98.1502,1
99.8502,1
104.05,1
105.17,-1
106.35,1
106.75,1
106.93,-1
