"KS test parameters: w_min = 1, w_max = 10, n_w = 12, d_c = 0.77, n_c = 3"
"Right column indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling"

year,jump
11.1375,1
15.03,-1
16.242,1
24.322,1
27.15,-1
29.5043,1
31.3814,-1
36.5996,-1
38.897,1
41.2367,1
42.9967,-1
44.7567,1
46.81,-1
49.4152,1
52.9994,-1
55.6228,1
57.3621,1
59.5782,-1
61.3511,-1
66.1153,1
70.9119,-1
75.0829,1
76.2059,-1
77.2647,1
81.0473,-1
87.8116,-1
89.6457,1
96.5586,-1
100.368,-1
103.363,1
106.851,-1
108.697,1
111.333,-1
113.333,1
115.355,-1
127.896,1
135.671,1
142.756,1
144.668,1
148.493,-1
153.969,1
158.619,-1
162.235,1
163.642,-1
164.85,1
167.848,-1
170.813,1
172.346,-1
175.488,-1
177.776,1
185.423,-1
192.2,1
195.698,-1
198.303,1
203.205,-1
204.53,-1
219.099,1
223.357,-1
226.087,1
227.841,-1
232.459,-1
240.672,1
248.01,1
253.736,-1
255.8,1
259.929,-1
262.793,1
267.658,-1
268.844,1
273.634,-1
277.198,1
278.438,-1
281.454,-1
283.398,1
287.526,-1
290.733,1
295.154,-1
296.827,1
299.632,-1
304.706,1
306.244,-1
308.231,1
312.563,-1
316.706,1
318.791,-1
333.751,1
350.075,-1
355.899,1
358.298,-1
361.279,1
363.335,-1
368.957,-1
373.481,1
375.986,-1
379.444,-1
383.059,-1
385.891,1
388.314,-1
392.263,1
396.611,-1
415.231,-1
425.223,1
434.111,-1
435.205,-1
436.572,1
439.557,-1
449.632,1
451.558,-1
453.483,-1
456.983,1
459.369,-1
464.14,-1
467.028,-1
469.186,1
471.952,-1
474.026,-1
476.274,1
479.904,-1
482.335,1
486.385,-1
505.829,1
512.356,-1
514.631,1
518.185,-1
523.445,1
531.895,1
540.191,-1
541.62,-1
543.708,1
547.993,1
550.63,-1
552.279,1
554.916,-1
555.905,1
560.404,-1
563.548,-1
575.033,1
578.686,-1
580.133,1
583.161,-1
591.248,1
593.881,-1
597.266,1
599.803,-1
601.758,1
605.862,-1
608.012,1
619.152,1
622.475,-1
625.602,1
628.496,1
632.969,-1
637.443,1
638.785,-1
640.127,1
651.534,1
660.929,-1
667.191,1
668.533,-1
672.56,-1
675.317,1
680.803,-1
682.978,1
684.658,-1
686.042,1
692.27,-1
696.298,-1
699.363,-1
707.875,1
709.577,-1
713.323,1
720.334,-1
721.792,1
731.05,-1
737.344,1
739.853,-1
742.57,-1
744.452,1
746.751,-1
748.005,1
762.43,-1
765.565,1
767.656,-1
770.403,1
772.458,-1
775.061,1
777.929,-1
786.263,-1
790.234,1
814.283,-1
817.851,1
820.824,-1
826.175,-1
831.042,-1
834.044,1
838.083,1
840.982,-1
843.985,-1
845.874,1
850.713,-1
860.533,-1
862.897,1
870.14,-1
876.004,1
884.556,-1
890.768,-1
891.982,1
896.838,-1
898.861,-1
904.447,1
906.665,1
909.737,-1
913.874,1
922.088,-1
926.598,1
931.591,1
939.848,-1
945.834,-1
947.83,1
951.821,-1
957.686,1
965.321,-1
970.162,-1
971.291,1
973.179,-1
976.084,1
980.441,-1
982.777,1
985.285,-1
986.696,1
994.848,-1
1000.02,-1
1002.99,1
1017.19,-1
1020.49,1
1026.43,-1
1029.73,1
1036.83,1
1049.43,1
1051.3,1
1067.66,-1
1069.02,-1
1072.42,1
1074.09,1
1076.49,-1
1079.31,1
1081.72,-1
1082.76,1
1086.37,1
1088.98,1
1103.37,-1
1104.39,-1
1114.14,1
1115.87,-1
1119.12,-1
1122.3,1
1125.78,-1
1130.89,1
1135.13,-1
1137.93,1
1142.79,-1
1143.75,1
1151.7,-1
1154.96,-1
1157.31,1
1160.4,-1
1162.08,1
1166.8,-1
1171.51,1
1173.19,-1
1175.1,1
1178.02,1
1185.88,1
1189.06,-1
1197.53,-1
