# KS test parameters: w_min = 0.12, w_max = 2, n_w = 15, d_c = 0.77, n_c = 3, s_c = 2, x_c = 0.3
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
19.1185,1
20.041,1
20.716,1
27.8435,1
28.5735,-1
28.8335,1
29.0355,1
29.303,1
30.121,-1
31.155,1
32.4435,1
33.3965,-1
33.6555,-1
33.882,-1
34.044,1
34.4165,-1
34.6015,-1
35.391,1
36.4135,-1
36.801,-1
38.439,1
39.2265,-1
39.9115,-1
40.417,1
41.39,-1
41.751,1
42.3585,-1
42.8105,-1
43.179,1
43.4585,1
44.7715,-1
