# KS test parameters: w_min = 0.2, w_max = 10, n_w = 12, d_c = 0.77, n_c = 3, s_c = 2.5
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
7.675,1
8.375,-1
9.875,1
11.425,1
12.825,-1
14.325,1
14.525,1
15.725,1
17.475,-1
23.275,1
26.625,-1
27.375,1
28.225,-1
29.175,1
30.075,-1
30.775,1
31.325,-1
32.075,1
32.675,-1
33.375,1
34.075,-1
35.075,1
36.375,-1
36.775,-1
37.875,1
38.675,1
38.875,1
39.625,-1
40.175,1
40.675,-1
41.375,1
42.175,-1
43.125,1
44.225,-1
44.475,-1
46.475,1
48.125,-1
51.175,-1
51.875,1
53.325,1
54.475,-1
55.175,1
55.925,-1
57.075,1
57.775,-1
58.625,1
61.175,1
62.925,-1
63.875,1
64.475,-1
65.925,-1
68.375,1
69.125,-1
70.775,1
71.725,1
72.525,-1
74.325,1
75.875,-1
77.075,1
77.925,-1
81.075,-1
83.275,1
87.375,-1
89.825,1
90.825,-1
94.875,1
95.625,-1
99.175,-1
101.425,1
102.625,1
103.525,-1
104.875,1
105.625,-1
106.475,1
108.475,-1
108.675,-1
111.925,-1
112.325,-1
113.425,-1
115.975,-1
122.075,-1
123.425,-1
124.175,1
126.175,-1
126.975,1
127.575,-1
128.425,1
128.675,1
129.825,1
131.225,1
133.575,1
135.225,-1
135.925,1
136.625,-1
137.325,1
137.675,1
138.975,-1
141.075,-1
141.825,1
145.775,-1
146.725,1
147.525,-1
148.325,1
149.175,-1
150.125,1
152.625,1
154.875,-1
155.525,1
156.325,-1
158.175,-1
159.225,1
159.875,-1
161.125,-1
162.075,1
162.375,1
164.325,-1
166.725,-1
168.225,1
168.825,-1
169.625,1
170.825,-1
172.075,1
173.525,-1
174.925,1
175.175,1
176.175,-1
177.125,1
177.975,1
179.475,-1
180.175,1
181.725,-1
182.525,1
183.325,-1
184.575,-1
185.975,-1
187.875,1
188.725,-1
190.575,-1
192.125,1
193.775,-1
194.075,-1
196.525,-1
201.325,1
203.175,-1
203.675,-1
207.225,-1
210.175,1
215.175,1
218.275,-1
219.025,1
219.475,1
221.525,-1
222.175,1
224.275,-1
225.225,-1
226.275,1
228.575,-1
229.725,1
230.925,-1
232.125,1
233.175,-1
234.525,-1
235.225,1
235.825,-1
236.475,1
237.675,-1
239.525,-1
240.725,-1
242.375,1
243.575,1
244.475,-1
245.925,1
246.825,-1
247.625,1
248.525,1
250.175,-1
251.275,1
252.075,-1
253.475,-1
254.175,1
255.825,-1
256.725,1
257.525,-1
258.525,1
259.275,-1
259.875,1
260.375,-1
261.175,1
262.025,-1
262.975,-1
263.775,1
266.325,-1
266.925,1
267.725,-1
268.475,1
270.475,1
275.325,-1
276.025,1
277.125,-1
277.925,1
278.675,-1
279.375,-1
279.575,-1
280.525,1
281.725,-1
285.275,-1
288.125,1
289.225,-1
290.275,1
291.575,-1
292.875,1
293.575,-1
294.225,1
295.075,-1
296.275,1
297.625,-1
297.975,-1
299.675,-1
300.375,1
301.825,-1
303.725,1
304.575,-1
305.425,1
306.475,1
307.375,-1
308.625,1
309.825,-1
311.525,-1
313.725,1
315.275,-1
316.125,1
