"KS test parameters: w_min = 1, w_max = 20, n_w = 12, d_c = 0.77, n_c = 3"
"Right column indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling"

year,jump
4.105,-1
12.32,-1
18.97,-1
24.665,1
36.575,1
38.54,-1
45.075,1
47.21,1
54.445,-1
57.345,1
76.74,1
77.865,-1
80.68,1
84.06,1
86.59,-1
90.575,1
91.575,-1
104.905,-1
109.12,-1
114.985,1
118.285,1
121.11,1
128.395,-1
129.895,-1
140.775,1
165.715,1
177.485,1
190.885,1
196.855,1
201.075,-1
209.075,1
217.695,-1
220.135,-1
231.91,1
242.59,-1
249.52,-1
255.62,1
258.12,1
264.775,1
267.27,1
277.395,1
281.485,1
290.87,-1
294.91,1
296.02,1
307.65,1
316.795,1
322.61,1
324,-1
324.83,1
326.77,1
347.555,1
369.865,1
378.23,1
393.895,1
419.215,-1
424.455,-1
429.105,-1
461.485,1
477.415,1
479.725,1
482.665,1
503.025,1
504.075,-1
508.485,-1
510.375,-1
511.845,1
532.97,-1
540.445,1
556.825,1
561.005,1
563.445,-1
567.28,1
569.025,1
577.035,-1
580.785,-1
594.59,1
597.4,-1
605,1
623.24,-1
632.805,1
636.7,1
650.155,1
679.2,1
690.51,1
693.58,-1
703.6,1
706.26,-1
713.01,-1
722.83,1
724.875,1
735.055,-1
744.92,-1
756.76,1
763.53,1
771.86,1
783.315,1
788.18,-1
810.57,1
813.46,1
815.765,1
817.665,1
821.465,-1
827.985,1
835.045,1
837.355,-1
840.615,1
843.055,1
846.855,-1
866.17,-1
879.2,1
902.12,1
914.5,-1
920.215,-1
926.12,1
928.73,-1
933.15,1
936.37,1
937.37,-1
957.87,-1
967.865,1
971.415,1
977.06,1
982.155,-1
986.47,-1
989.97,1
1000.07,-1
1004.83,1
1009.1,1
1011.48,1
1016.93,-1
1021.2,1
1034.35,-1
1038.11,-1
1039.67,1
1050.64,1
1060.57,1
1077.04,-1
1085.82,-1
1092.94,-1
1103.1,1
1115.76,-1
1121.96,-1
1124.97,-1
1126.39,1
1130.5,1
1136.5,1
1137.79,-1
1138.81,1
1143.95,1
1146.27,1
1150.13,1
1191.77,-1
1197.94,-1
1212.7,1
1218.41,-1
1222.95,1
1225.33,1
1245.26,-1
1270.2,1
1286.7,-1
1293.94,1
1302.29,1
1306.79,1
1322.43,-1
1325.73,-1
1341.56,1
1358.89,-1
1365.81,-1
1375.09,1
1382.56,1
1403.68,-1
1420.36,-1
1426.96,1
1453.5,-1
1462.43,1
1467,1
1491.05,-1
1499.76,1
1510.16,1
1532.08,-1
1545.98,1
1569.13,-1
1572.54,-1
1585.46,1
1592.62,-1
1597.12,1
1610.63,-1
1618.36,1
1646.63,-1
1668.08,1
1758.54,1
1782.09,-1
1801.49,1
1815.76,-1
1875.51,1
1896.95,-1
1908.69,1
1920.63,1
1941.71,-1
1963.27,1
2017.02,1
2036.42,-1
2043.47,-1
2051.87,1
2084.81,1
2128.05,1
2167.05,1
2192.14,-1
2204.11,1
2234.27,-1
2250.55,1
2270.02,-1
2291.26,1
2310.07,-1
2331.44,1
2350.09,-1
2372.6,1
2388.07,-1
2404.44,1
2427.72,-1
2492.07,1
2540.48,1
2571.75,1
2597.13,-1
2657.47,1
2681.64,-1
2705.34,-1
2731.37,1
2773.64,1
2840.21,-1
2860.97,-1
2869.47,1
2894.22,1
2919.66,-1
2933.99,1
2999.77,-1
3023.44,1
3118.88,-1
